training/epoch,mlp_baseline - training/train_loss
1,2.1594187543268433
2,1.7856115290189818
3,1.634004460413308
4,1.5308786914943115
5,1.4413779197136936
6,1.3612074415794329
7,1.294421165323015
8,1.2287686072986228
9,1.1655113328231195
10,1.1109183204905024
11,1.0505174956872085
12,1.0016539059871634
13,0.9555512473070411
14,0.9066552995311139
15,0.8589317416176616
16,0.8128522689872367
17,0.7810322260299974
18,0.7402044738041571
19,0.7007839735308617
20,0.6644490744025665
21,0.6328360689626847
22,0.5980211023907873
23,0.5655374494506045
24,0.5347215066684554
25,0.5054178700428078
26,0.4798500747496759
27,0.4479553913794047
28,0.4240854721464231
29,0.3979215923525374
30,0.37590000993494843
31,0.3551388726387516
32,0.3298699740358555
33,0.3106281165572978
34,0.2913307192159793
35,0.2712672454657052
36,0.2543029965236498
37,0.2379358405691452
38,0.21928216115567056
39,0.2084156234168755
40,0.19144318049060102
41,0.1820219410742952
42,0.16661281972985134
43,0.15520255596824176
44,0.14006216164571017
45,0.13180661662549822
46,0.12406485933787793
47,0.11185795731825215
48,0.10611067047772985
49,0.09461804376437541
50,0.09219490209575547
51,0.08518988484240728
52,0.07595432595214414
53,0.07072501426737673
54,0.06598662082469449
55,0.06268866337262487
56,0.053168441589879864
57,0.05174251672247331
58,0.045776802139984626
59,0.04353530398310297
60,0.04035809666277482
